task_id,image_path,image_name,original_width,original_height,pupil_center_x,pupil_center_y,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,synthetic_quality
1,clean/000688fa5933cbb0f5061a0c352ef9b0e6ac58521d9f5af19172ba7471270adb_left.png,000688fa5933cbb0f5061a0c352ef9b0e6ac58521d9f5af19172ba7471270adb_left.png,128,96,83,48,76,42,88,56,12,14,good_for_synthetic
2,clean/000688fa5933cbb0f5061a0c352ef9b0e6ac58521d9f5af19172ba7471270adb_right.png,000688fa5933cbb0f5061a0c352ef9b0e6ac58521d9f5af19172ba7471270adb_right.png,128,96,74,53,66,43,83,63,17,20,good_for_synthetic
3,clean/0068dd10bffeaf78d5290426704016f69748750e02e9835597821f7bff9446c3_left.png,0068dd10bffeaf78d5290426704016f69748750e02e9835597821f7bff9446c3_left.png,128,96,82,51,73,43,89,58,16,15,bad_for_synthetic
4,clean/0068dd10bffeaf78d5290426704016f69748750e02e9835597821f7bff9446c3_right.png,0068dd10bffeaf78d5290426704016f69748750e02e9835597821f7bff9446c3_right.png,128,96,76,48,69,43,82,55,13,12,bad_for_synthetic
5,clean/00a2b94727fc900f76435e2553431d38e11385cf3a391497bf6e7d5bfcffa189_left.png,00a2b94727fc900f76435e2553431d38e11385cf3a391497bf6e7d5bfcffa189_left.png,128,96,66,53,60,46,74,59,14,13,good_for_synthetic
6,clean/00a2b94727fc900f76435e2553431d38e11385cf3a391497bf6e7d5bfcffa189_right.png,00a2b94727fc900f76435e2553431d38e11385cf3a391497bf6e7d5bfcffa189_right.png,128,96,63,53,55,46,71,58,15,12,good_for_synthetic
7,clean/00a69a76de919a1f9bb4057139787ef21197dc3046fd803564abda1afc8ff3ba_left.png,00a69a76de919a1f9bb4057139787ef21197dc3046fd803564abda1afc8ff3ba_left.png,128,96,73,47,68,43,79,53,11,10,good_for_synthetic
8,clean/00a69a76de919a1f9bb4057139787ef21197dc3046fd803564abda1afc8ff3ba_right.png,00a69a76de919a1f9bb4057139787ef21197dc3046fd803564abda1afc8ff3ba_right.png,128,96,74,45,67,40,78,52,11,12,good_for_synthetic
9,clean/00b3caf9ac97862a54795189b43d356e174d025749bd98e794606d28cdc69cb2_left.png,00b3caf9ac97862a54795189b43d356e174d025749bd98e794606d28cdc69cb2_left.png,128,96,70,53,65,49,75,57,10,8,good_for_synthetic
10,clean/00b3caf9ac97862a54795189b43d356e174d025749bd98e794606d28cdc69cb2_right.png,00b3caf9ac97862a54795189b43d356e174d025749bd98e794606d28cdc69cb2_right.png,128,96,74,56,68,53,81,63,13,11,bad_for_synthetic
